id,username,created_at,lng,lat,text
1527218812814254081,SirStevoTimothy,Thu May 19 09:25:13 +0000 2022,-9.1065045,53.343312999999995,👌👌👌 https://t.co/FjZNbGSfvT
1527218839385153536,lismoreman,Thu May 19 09:25:20 +0000 2022,-6.235720000000001,53.494597999999996,@Denis_Hurley Be careful giving out mothers maiden names online - often used as security to prevent fraud on financial instruments
1527218851531849728,m1chaelsweeney,Thu May 19 09:25:23 +0000 2022,-6.815333,53.15480650000001,has just had me willy about her and now we’re lying head to toes
1527218875733094400,keletsovionah,Thu May 19 09:25:28 +0000 2022,-9.0333065,51.903863,@GrettahS @TheWokeInvestr @EasyEquities @Shazzmahlase @surveypapi @_Hlubikaz @Ms_jaco @F_2chainz @uNandi_… https://t.co/qyEap1yedS
1527218910231158786,AugustineEchef1,Thu May 19 09:25:37 +0000 2022,-6.395643,53.906042,@mitchveeek Sure we can
1527218926110785538,rowntree_carr,Thu May 19 09:25:40 +0000 2022,-9.4203375,53.9092525,@VonnyR7 32.....
1527218951331135488,stegrogan,Thu May 19 09:25:47 +0000 2022,-6.7754335,53.649918,@Fubble365 @GarBreeninhoLfc Yea said they would of been cheaper but saying there’s only adult seats left is just a… https://t.co/B4mAj2G5iy
1527218984667566082,LouiseD30754664,Thu May 19 09:25:54 +0000 2022,-6.261776,53.356838,Delighted to announce that we received delivery of our new MRI machine here in Temple Street with our new CT machin… https://t.co/SBhaYYyv2l
1527218992917762048,VoidEater22,Thu May 19 09:25:56 +0000 2022,-8.0543455,52.874492000000004,@OrIa_Smith @Pigpen422 Come to think of it I've only seen one person calling her out over it
1527219001880985601,nomadicdragon13,Thu May 19 09:25:59 +0000 2022,-9.0333065,51.903863,@katmcbridee @davydublin47 @for29years @vaxxedgeek Katherine you definitely get a follow from me after this great f… https://t.co/UBEMFwcDIH
1527219008654786560,CorkEnvForum,Thu May 19 09:26:00 +0000 2022,-9.1065045,53.343312999999995,"@ellamcsweeney in her presentation asks ""is water pollution an accepted by product of economic activity"" &amp; should t… https://t.co/8rPXm9jhvd"
1527219012815532032,StJohnstone,Thu May 19 09:26:01 +0000 2022,-4.200441,57.739454,𝙂𝙊𝘼𝙇𝙎 𝙊𝙁 𝙏𝙃𝙀 𝘿𝘼𝙔Only 𝙊𝙉𝙀 day to go until we face @ICTFC in the 1st leg of the #cinchPremiership play-off!Here i… https://t.co/cHkm5mnIJp
1527219029269782529,scottadamball,Thu May 19 09:26:05 +0000 2022,-3.927119,50.997507,@naparacinguk @BTCC @mikeb9212
1527219056692154371,NoelleF32264901,Thu May 19 09:26:12 +0000 2022,-5.6111865000000005,54.261416,@PogoSkyBlues42 @AmandaFBelfast Acceptance of reality is not one of your fortes . Your view of history of this plac… https://t.co/IrMH7bLzgf
